Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
58124-9642,PG,Russell,Russell Westbrook,Westbrook,51.57499913,56,11000,WAS@DAL,WAS,DAL,,,,,,PG
58124-55062,C,Nikola,Nikola Jokic,Jokic,54.61875153,64,10900,DEN@LAC,DEN,LAC,,,,,,C
58124-84669,PG,Luka,Luka Doncic,Doncic,51.15965084,57,10800,WAS@DAL,DAL,WAS,,,,,,PG
58124-14528,SF,Jimmy,Jimmy Butler,Butler,46.26739237,46,9800,MIA@CLE,MIA,CLE,,,,,,SF
58124-9524,PG,Stephen,Stephen Curry,Curry,47.17143032,56,9700,GS@HOU,GS,HOU,,,,,,PG
58124-84671,PG,Trae,Trae Young,Young,43.22909268,55,9500,CHI@ATL,ATL,CHI,,,,,,PG
58124-12341,SG,Paul,Paul George,George,40.9122439,49,9400,DEN@LAC,LAC,DEN,,,,,,SG
58124-15595,SG,Bradley,Bradley Beal,Beal,44.6309082,55,9300,WAS@DAL,WAS,DAL,,,,,,SG
58124-40783,SG,Zach,Zach LaVine,LaVine,41.32963053,54,9300,CHI@ATL,CHI,ATL,O,Covid-19,,,,SG
58124-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,47.3880964,42,9200,NO@MIN,MIN,NO,,,,,,C
58124-14513,SF,Kawhi,Kawhi Leonard,Leonard,45.4191479,47,9200,DEN@LAC,LAC,DEN,GTD,Foot,,,,SF
58124-59358,PF,Domantas,Domantas Sabonis,Sabonis,43.76296206,54,9200,IND@OKC,IND,OKC,GTD,Back,,,,PF
58124-66113,SG,Donovan,Donovan Mitchell,Mitchell,40.37592683,54,9000,TOR@UTA,UTA,TOR,GTD,Ankle,,,,SG
58124-14514,C,Nikola,Nikola Vucevic,Vucevic,45.86461463,65,9000,CHI@ATL,CHI,ATL,,,,,,C
58124-110310,PF,Zion,Zion Williamson,Williamson,42.19661182,59,8900,NO@MIN,NO,MIN,,,,,,PF
58124-42202,PF,Christian,Christian Wood,Wood,39.75641026,39,8700,GS@HOU,HOU,GS,,,,,,PF
58124-22541,C,Kelly,Kelly Olynyk,Olynyk,27.51774154,62,8600,GS@HOU,HOU,GS,,,,,,C
58124-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,37.6660723,56,8500,IND@OKC,IND,OKC,GTD,Hamstring,,,,PG
58124-55059,C,Clint,Clint Capela,Capela,41.25357056,56,8400,CHI@ATL,ATL,CHI,,,,,,C
58124-84682,SF,Michael,Michael Porter,Porter,33.08867832,53,8300,DEN@LAC,DEN,LAC,,,,,,SF
58124-80817,C,Bam,Bam Adebayo,Adebayo,41.72321429,56,8300,MIA@CLE,MIA,CLE,,,,,,C
58124-84667,SG,Collin,Collin Sexton,Sexton,35.26078527,51,8200,MIA@CLE,CLE,MIA,,,,,,SG
58124-23798,SG,Caris,Caris LeVert,LeVert,35.39473684,38,8100,IND@OKC,IND,OKC,,,,,,SG
58124-60021,PF,Pascal,Pascal Siakam,Siakam,39.22156958,51,8000,TOR@UTA,TOR,UTA,,,,,,PF
58124-110342,PG,Darius,Darius Garland,Garland,30.81698205,53,7900,MIA@CLE,CLE,MIA,GTD,Ankle,,,,PG
58124-40203,C,Rudy,Rudy Gobert,Gobert,40.44761827,63,7900,TOR@UTA,UTA,TOR,,,,,,C
58124-110344,PG,Ja,Ja Morant,Morant,35.22222222,54,7700,MEM@ORL,MEM,ORL,,,,,,PG
58124-55060,SF,Bogdan,Bogdan Bogdanovic,Bogdanovic,26.89459393,37,7700,CHI@ATL,ATL,CHI,GTD,Hamstring,,,,SF
58124-9575,PG,Mike,Mike Conley,Conley,31.72600098,50,7600,TOR@UTA,UTA,TOR,GTD,Hamstring,,,,PG
